CPRO;CMUN;DC;NOMBRE
02;001;9;Abengibre
02;002;4;Alatoz
02;003;0;Albacete
02;004;5;Albatana
02;005;8;Alborea
02;006;1;Alcadozo
02;007;7;Alcalá del Júcar
02;008;3;Alcaraz
02;009;6;Almansa
02;010;0;Alpera
02;011;7;Ayna
02;012;2;Balazote
02;014;3;Ballestero, El
02;013;8;Balsa de Ves
02;015;6;Barrax
02;016;9;Bienservida
02;017;5;Bogarra
02;018;1;Bonete
02;019;4;Bonillo, El
02;020;8;Carcelén
02;021;5;Casas de Juan Núñez
02;022;0;Casas de Lázaro
02;023;6;Casas de Ves
02;024;1;Casas-Ibáñez
02;025;4;Caudete
02;026;7;Cenizate
02;029;2;Chinchilla de Monte-Aragón
02;027;3;Corral-Rubio
02;028;9;Cotillas
02;030;6;Elche de la Sierra
02;031;3;Férez
02;032;8;Fuensanta
02;033;4;Fuente-Álamo
02;034;9;Fuentealbilla
02;035;2;Gineta, La
02;036;5;Golosalvo
02;037;1;Hellín
02;038;7;Herrera, La
02;039;0;Higueruela
02;040;4;Hoya-Gonzalo
02;041;1;Jorquera
02;042;6;Letur
02;043;2;Lezuza
02;044;7;Liétor
02;045;0;Madrigueras
02;046;3;Mahora
02;047;9;Masegoso
02;048;5;Minaya
02;049;8;Molinicos
02;050;1;Montalvos
02;051;8;Montealegre del Castillo
02;052;3;Motilleja
02;053;9;Munera
02;054;4;Navas de Jorquera
02;055;7;Nerpio
02;056;0;Ontur
02;057;6;Ossa de Montiel
02;058;2;Paterna del Madera
02;060;9;Peñas de San Pedro
02;059;5;Peñascosa
02;061;6;Pétrola
02;062;1;Povedilla
02;901;0;Pozo Cañada
02;063;7;Pozohondo
02;064;2;Pozo-Lorente
02;065;5;Pozuelo
02;066;8;Recueja, La
02;067;4;Riópar
02;068;0;Robledo
02;069;3;Roda, La
02;070;7;Salobre
02;071;4;San Pedro
02;072;9;Socovos
02;073;5;Tarazona de la Mancha
02;074;0;Tobarra
02;075;3;Valdeganga
02;076;6;Vianos
02;077;2;Villa de Ves
02;078;8;Villalgordo del Júcar
02;079;1;Villamalea
02;080;5;Villapalacios
02;081;2;Villarrobledo
02;082;7;Villatoya
02;083;3;Villavaliente
02;084;8;Villaverde de Guadalimar
02;085;1;Viveros
02;086;4;Yeste
